FileName	Rolling Stone Rank	TITLE	ARTIST	Release Year	RS 5x20 subset	Lyric subset	YoutubeLink
TheRollingStones_Satisfaction_1965	2	Satisfaction	The Rolling Stones	1965	TRUE	TRUE	https://www.youtube.com/watch?v=NEjkftp7J7I
BigStar_SeptemberGurls_1974	178	September Gurls	Big Star	1974	FALSE	FALSE	https://www.youtube.com/watch?v=BNKSs1J38EA
BigJoeTurner_ShakeRattleAndRoll_1954	126	Shake, Rattle and Roll	Big Joe Turner	1954	FALSE	FALSE	https://www.youtube.com/watch?v=YhELpSeeipg
TheBeatles_SheLovesYou_1963	64	She Loves You	The Beatles	1963	FALSE	FALSE	https://www.youtube.com/watch?v=1EDUoqi1JHM
TheClash_ShouldIStayOrShouldIGo_1982	228	Should I Stay or Should I Go	The Clash	1982	TRUE	TRUE	https://www.youtube.com/watch?v=BN1WwnEDWAM
TheIsleyBrothers_Shout_1959	118	Shout (Parts 1 and 2)	The Isley Brothers	1959	FALSE	FALSE	https://www.youtube.com/watch?v=nEjLFpU2pJ4
Nirvana_SmellsLikeTeenSpirit_1991	9	Smells Like Teen Spirit	Nirvana	1991	TRUE	TRUE	https://www.youtube.com/watch?v=hTWKbfoikeg
LedZeppelin_StairwayToHeaven_1971	31	Stairway To Heaven	Led Zeppelin	1971	TRUE	TRUE	https://www.youtube.com/watch?v=RCOdXYoCBo
BenEKing_StandByMe_1961	121	Stand By Me	Ben E. King	1961	FALSE	FALSE	https://www.youtube.com/watch?v=hwZNL7QVJjE
TheBeatles_StrawberryFieldsForever_1967	76	Strawberry Fields Forever	The Beatles	1967	FALSE	FALSE	https://www.youtube.com/watch?v=HtUH9z_Oey8
Pavement_SummerBabe_1992	286	Summer Babe	Pavement	1992	TRUE	TRUE	https://www.youtube.com/watch?v=vidwufHTXSY
EddieCochran_SummertimeBlues_1958	73	Summertime Blues	Eddie Cochran	1958	TRUE	TRUE	https://www.youtube.com/watch?v=BXb0YUJOxqg
Cream_SunshineOfYourLove_1968	65	Sunshine of Your Love	Cream	1968	FALSE	FALSE	https://www.youtube.com/watch?v=oPYot0Wk7UY
StevieWonder_Superstition_1972	74	Superstition	Stevie Wonder	1972	TRUE	TRUE	https://www.youtube.com/watch?v=JOFCpvIlpVk
